F,66,41000.0,95103,1
M,40,76000.0,95102,2
F,58,95000.0,95103,3
F,68,60000.0,95105,4
M,85,14000.0,95102,5
M,14,0.0,95105,6
M,52,2000.0,94040,7
M,67,99000.0,94040,8
F,43,11000.0,94041,9
F,37,65000.0,94040,10
M,72,83000.0,94041,11
M,68,15000.0,95103,12
F,74,37000.0,95105,13
F,15,0.0,95050,14
F,83,0.0,94040,15
F,30,10000.0,95101,16
M,19,0.0,95050,17
M,23,89000.0,95105,18
M,1,0.0,95050,19
F,4,0.0,95103,20
M,23,64000.0,94041,21
M,79,15000.0,94040,22
F,65,70000.0,95102,23
F,96,9000.0,95102,24
F,92,56000.0,94041,25
M,17,0.0,95102,26
M,17,0.0,95103,27
F,17,0.0,95050,28
M,50,18000.0,95102,29
M,15,0.0,95103,30
M,6,0.0,95051,31
F,3,0.0,95050,32
M,44,96000.0,94040,33
F,73,12000.0,95102,34
M,55,32000.0,94040,35
F,82,10000.0,95102,36
F,33,29000.0,95050,37
M,67,81000.0,95101,38
M,31,95000.0,94041,39
M,34,61000.0,94040,40
F,22,90000.0,95102,41
M,66,84000.0,95103,42
M,71,0.0,94041,43
F,16,0.0,95102,44
F,97,69000.0,95103,45
M,48,91000.0,95102,46
F,1,0.0,95102,47
M,45,48000.0,94041,48
F,39,3000.0,94040,49
F,84,14000.0,95051,50
F,25,3000.0,41123,51
M,25,3000.0,41123,52
